population,relative_freq,relative_freq,relative_freq,relative_freq,relative_freq,relative_freq,relative_freq,relative_freq
,count,mean,std,min,25%,50%,75%,max
b_cell,993.0,0.0979755261377016,0.033225493122890644,0.02373808422937305,0.07296956332757323,0.09432277716506483,0.11865893020392171,0.2511549414618711
cd4_t_cell,993.0,0.30537808341850087,0.05207558326383486,0.1567172475126452,0.2701062790940206,0.3022056448672133,0.3394977928417948,0.4903022101939558
cd8_t_cell,993.0,0.2488193159509671,0.049144812276709804,0.11285446404653475,0.2136079464314049,0.24728022127013397,0.2801411656688154,0.4016619696560244
monocyte,993.0,0.19941763178422633,0.0464225112539138,0.08079164155113522,0.16711298991947054,0.19609697542876886,0.2281798214605545,0.3763849977406235
nk_cell,993.0,0.14840944270860407,0.04132055384510059,0.045673011893919584,0.11759866004525285,0.1450928161158745,0.17298194561141053,0.32046671970299656
